mean	age	Male	COP	DIP	IPF/UIP	NSIP	RB-ILD	UF	adjpv_age	adjpv_Male	adjpv_COP	adjpv_DIP	adjpv_IPF/UIP	adjpv_NSIP	adjpv_RB-ILD	adjpv_UF
hsa-let-7a-star_st	0.131181764028797	0.000166138549018787	0.0140808980234686	-0.0646737091588926	0.299367831093929	0.0843594235644455	0.183306903670063	0.0580521796676179	-0.0544705131261021	0.987535582227092	0.994330535693937	0.99908269210418	0.927398920331788	0.242230504881519	0.167704543989203	0.998231224860334	0.859716090742796
hsa-let-7a_st	8.8269610127433	0.00244248794763923	0.0285043465253018	-0.24727227419938	-0.281214742976349	-0.460464964468272	-0.195623611241589	-0.286814475321243	-0.19863998330684	0.979780615612958	0.994330535693937	0.99908269210418	0.980089265312655	7.17776663338472e-05	0.552962571424921	0.998231224860334	0.701165642073375
hsa-let-7b-star_st	0.714538813082794	-0.000984206751945461	-0.0277652166119703	-0.158739825376295	-0.274787363710881	-0.043325309408799	-0.0764429464217804	0.153451056452575	0.0224739442446363	0.979780615612958	0.994330535693937	0.99908269210418	0.980089265312655	0.704027139966692	0.806848510202816	0.998231224860334	0.978372926342903
hsa-let-7b_st	11.7859231772644	-0.0043787350440637	-0.18698024973645	0.0312733302556042	-0.536067719303155	-0.866165130115107	-0.899106125664138	-0.156013267771981	-0.677379354931014	0.979780615612958	0.578315302316848	0.99908269210418	0.980089265312655	1.7330777655081e-10	0.000219465321540621	0.998231224860334	0.041819671555613
hsa-let-7c-star_st	0.381189132140795	-0.00252966896680676	0.0471815624844561	-0.197854760313723	0.143148495563931	0.109256010535366	0.160800786281015	0.186431711529662	-0.0710592095301434	0.979780615612958	0.98630681943842	0.99908269210418	0.980089265312655	0.104330776474325	0.233584441300161	0.998231224860334	0.758203418808849
hsa-let-7c_st	9.18003799960521	0.000750931156704736	-0.145701691292834	-0.00718411696384439	-0.255819193931216	-0.320324913983533	-0.271629686352494	-0.076036973520309	-0.178191252143163	0.979780615612958	0.428213660997472	0.99908269210418	0.980089265312655	0.000486241931423557	0.188335331459821	0.998231224860334	0.636493694244204
hsa-let-7d-star_st	0.247792036624234	0.000915035898102629	0.0170903129561521	-0.180876273536826	-0.0221260729697176	0.0175896182874238	0.041891423722808	0.000574663952534989	0.0432228769238205	0.979780615612958	0.994330535693937	0.99908269210418	0.98532387037686	0.886383049035056	0.874662900061303	0.999348149455137	0.916995173068725
hsa-let-7d_st	8.60111703367621	-0.000829708210915086	-0.00617296475148819	-0.134750379389698	-0.259141916495972	-0.525076852823917	-0.21812670447079	-0.224890251884576	-0.394929953724008	0.979780615612958	0.994330535693937	0.99908269210418	0.980089265312655	6.13329570849178e-09	0.32486114739738	0.998231224860334	0.0986070884603863
hsa-let-7e-star_st	0.53292658187527	-0.0021368112206743	0.000156282840294465	-0.0122892865677686	-0.0315794852405469	0.064459543714211	-0.00476824380951664	0.218242435323378	0.0438258050992269	0.979780615612958	0.998189381214214	0.99908269210418	0.983020767481115	0.515800596422969	0.985743691882135	0.998231224860334	0.932200089143497
hsa-let-7e_st	8.32846251721987	-0.00211939371117112	-0.0300502286074964	-0.28832738326961	-0.123724097973205	-0.260540225158776	-0.151931923097019	-0.251467067519796	-0.253320021677583	0.979780615612958	0.994330535693937	0.99908269210418	0.980089265312655	0.012937737200849	0.599456580806167	0.998231224860334	0.455716388537325
hsa-let-7f-1-star_st	0.185965243142111	0.00159722912134056	-0.0293742039624847	-0.294661119960397	0.0522512819629525	0.103203339833088	0.278577687804384	0.168624051799215	0.131372827195847	0.979780615612958	0.994330535693937	0.99908269210418	0.980089265312655	0.205878372826877	0.0451321168248678	0.998231224860334	0.636493694244204
hsa-let-7f-2-star_st	0.113065511298733	0.000580158832501533	-0.0359928421758866	0.261523586351202	0.0122030026015472	0.0941450557973594	0.0188281825022197	-0.00531480410476618	0.0243130724375966	0.979780615612958	0.994330535693937	0.99908269210418	0.989678478965894	0.141820266945127	0.935167740186155	0.998231224860334	0.948820770413158
hsa-let-7f_st	5.88497616705602	-0.00895801031605669	0.0404930592796414	-0.602907084852023	0.281137486730213	-0.220859254784461	0.122091218152005	-0.0786368072176532	-0.174818578521789	0.979780615612958	0.994330535693937	0.99908269210418	0.980089265312655	0.483419334595342	0.899580654139757	0.998231224860334	0.891747907927782
hsa-let-7g-star_st	0.324053014164377	0.00225848686937013	-0.0184768929339959	0.0554586624533282	-0.0777815983786102	-0.110190451206604	-0.212993327427938	0.16357080098927	-0.0231702371265726	0.979780615612958	0.994330535693937	0.99908269210418	0.980089265312655	0.209924326291868	0.198421040379703	0.998231224860334	0.970786874941566
hsa-let-7g_st	3.93764996313283	0.00251916196832004	-0.150225968678315	-1.05521456967448	-0.142270864092542	-0.926976267348298	-0.42443769654241	-0.598846843565955	-0.733678562247317	0.979780615612958	0.994330535693937	0.99908269210418	0.983020767481115	0.00341200796872067	0.653754220691811	0.998231224860334	0.492686348793248
hsa-let-7i-star_st	0.36470968559008	-0.001943344721155	-0.0727989339337282	0.171735662279161	0.0965767479322222	0.0487286224909271	0.175489549005411	-0.0924087495526247	0.00682080738893142	0.979780615612958	0.911222833960107	0.99908269210418	0.980089265312655	0.596652905980457	0.287912625795051	0.998231224860334	0.994919934421862
hsa-let-7i_st	5.46763798376988	0.000427856767616681	-0.0697925748995568	-0.11924703714027	0.641370127692158	-0.354335514852936	0.23199287079793	-0.054631319809478	-0.256873381293	0.99340148614494	0.994330535693937	0.99908269210418	0.980089265312655	0.267531788047251	0.814085067948917	0.998231224860334	0.839746553004039
